px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
-0.647688030799,0.852445401688,-5.93619681166,6.03288979059,-1.0,23.6728578039,9.7326986826,-15.4072622955,29.8751487927,1.0
-1.1188296969,1.22035428521,-5.95700633802,6.18369894754,-1.0,-51.0987831832,15.3578144095,-188.765017123,196.161135191,-1.0
-1.1188296969,1.22035428521,-5.95700633802,6.18369894754,-1.0,23.7007991888,9.74363218006,-15.4249619367,29.9099793495,1.0
-1.1188296969,1.22035428521,-5.95700633802,6.18369894754,-1.0,-2.19403806567,2.41388503587,-8.04132073677,8.67840117084,-1.0
-1.1188296969,1.22035428521,-5.95700633802,6.18369894754,-1.0,-0.647688030799,0.852445401688,-5.93619681166,6.03288979059,-1.0
-1.1188296969,1.22035428521,-5.95700633802,6.18369894754,-1.0,-51.0481218686,15.342588077,-188.573948873,195.962881976,-1.0
-1.1188296969,1.22035428521,-5.95700633802,6.18369894754,-1.0,23.6728578039,9.7326986826,-15.4072622955,29.8751487927,1.0
-1.26518538101,2.3430456777,-6.38024238603,6.91442070539,-1.0,-51.0987831832,15.3578144095,-188.765017123,196.161135191,-1.0
-1.26518538101,2.3430456777,-6.38024238603,6.91442070539,-1.0,23.7007991888,9.74363218006,-15.4249619367,29.9099793495,1.0
-1.26518538101,2.3430456777,-6.38024238603,6.91442070539,-1.0,-2.19403806567,2.41388503587,-8.04132073677,8.67840117084,-1.0
-1.26518538101,2.3430456777,-6.38024238603,6.91442070539,-1.0,-0.647688030799,0.852445401688,-5.93619681166,6.03288979059,-1.0
-1.26518538101,2.3430456777,-6.38024238603,6.91442070539,-1.0,-1.1188296969,1.22035428521,-5.95700633802,6.18369894754,-1.0
-1.26518538101,2.3430456777,-6.38024238603,6.91442070539,-1.0,-51.0481218686,15.342588077,-188.573948873,195.962881976,-1.0
-1.26518538101,2.3430456777,-6.38024238603,6.91442070539,-1.0,23.6728578039,9.7326986826,-15.4072622955,29.8751487927,1.0
23.6728578039,9.7326986826,-15.4072622955,29.8751487927,1.0,-51.0481218686,15.342588077,-188.573948873,195.962881976,-1.0
38.0133613174,22.8159531768,-55.5434048178,71.0680261472,-1.0,6.61264269489,-50.9776042854,-5.01905063502,51.6492518344,1.0
6.61646326943,-51.0070575231,-5.03169722872,51.6800410609,1.0,38.0133613174,22.8159531768,-55.5434048178,71.0680261472,-1.0
